avgKills,avgDeaths,avgAssists,avgChampLevel,avgChampExperience,avgDoubleKills,avgTripleKills,avgQuadraKills,avgPentaKills,avgConsumablesPurchased,avgDamageDealtToBuildings,avgDamageDealtToObjectives,avgDamageSelfMitigated,avgDetectorWardsPlaced,avgTimePlayed,avgGoldEarned,avgGoldSpent,avgInhibitorKills,avgItemsPurchased,avgLargestKillingSpree,avgKillingSprees,avgLongestTimeSpentLiving,avgMagicDamageDealt,avgMagicDamageDealtToChampions,avgMagicDamageTaken,avgPhysicalDamageDealt,avgPhysicalDamageDealtToChampions,avgPhysicalDamageTaken,avgTotalDamageDealt,avgTotalDamageDealtToChampions,avgTotalDamageShieldedOnTeammates,avgTotalDamageTaken,avgTrueDamageDealt,avgTrueDamageDealtToChampions,avgTrueDamageTaken,avgTotalHeal,avgTotalHealsOnTeammates,avgTotalMinionsKilled,avgTotalTimeCCDealt,avgTotalTimeSpentDead,avgTurretKills,avgTurretsLost,avgNeutralMinionsKilled,avgObjectivesStolen,avgObjectivesStolenAssists,avgVisionScore,avgVisionWardsBoughtInGame,avgWardsKilled,avgWardsPlaced,avgAbilityUses,avgAcesBefore15Minutes,avgAlliedJungleMonsterKills,avgBaronTakedowns,avgBlastConeOppositeOpponentCount,avgBountyGold,avgBuffsStolen,avgDamagePerMinute,avgDeathsByEnemyChamps,avgDragonTakedowns,avgEffectiveHealAndShielding,avgEnemyChampionImmobilizations,avgEnemyJungleMonsterKills,avgEpicMonsterSteals,avgGoldPerMinute,avgJungleCsBefore10Minutes,avgKda,avgKillParticipation,avgKillsNearEnemyTurret,avgKillsUnderOwnTurret,avgKillsWithHelpFromEpicMonster,avgMaxKillDeficit,avgMultikills,avgOutnumberedKills,avgRiftHeraldTakedowns,avgScuttleCrabKills,avgSkillshotsDodged,avgSkillshotsHit,avgSoloKills,avgTakedowns,avgTakedownsAfterGainingLevelAdvantage,avgTakedownsBeforeJungleMinionSpawn,avgTurretPlatesTaken,avgTurretTakedowns,avgTurretsTakenWithRiftHerald,avgVisionScorePerMinute,avgWardTakedownsBefore20M,avgWardsGuarded,avgSoloTurretsLategame,avgDodgeSkillShotsSmallWindow,avgTookLargeDamageSurvived,avgPickKillWithAlly,avgKnockEnemyIntoTeamAndKill,avgVisionScoreAdvantageLaneOpponent,avgMaxLevelLeadLaneOpponent,avgLaningPhaseGoldExpAdvantage,avgEarlyLaningPhaseGoldExpAdvantage,avgEarliestBaron,avgKillsOnLanersEarlyJungleAsJungler,avgJunglerKillsEarlyJungle,avgTakedownsFirst25Minutes,baron_first,baron_kills,champion_first,champion_kills,dragon_first,dragon_kills,inhibitor_first,inhibitor_kills,riftHerald_first,riftHerald_kills,tower_first,tower_kills,gameDuration,win
6.6,2.8,5.0,14.8,13779.8,0.6,0.0,0.0,0.0,3.4,5513.0,17104.8,23601.0,1.0,1793.0,12210.2,10825.0,0.6,20.8,3.4,1.8,726.6,35773.2,5566.6,1292.4,93139.6,10355.8,20917.6,141309.6,17712.6,57.6,23102.4,12396.4,1789.2,891.2,9522.0,88.2,132.0,168.8,85.6,2.0,4.0,48.4,0.0,0.0,28.8,1.0,3.8,12.8,198.0,0.0,19.4,0.0,0.0,0.0,1.0,592.5346,2.8,1.6,146.0135,12.8,14.4,0.0,408.4621,12.8,6.43,0.3515,2.6,0.2,0.0,0.0,0.6,1.2,0.4,1.8,26.4,29.4,2.4,11.6,0.2,0.0,1.6,4.4,5.0,0.9824,5.6,0.0,,0.8,0.0,7.4,1.0,0.258,2.4,0.4,0.0,,,,,False,0,True,33,True,4,True,3,True,1,True,10,1793,True
7.0,7.6,10.8,17.0,18096.4,1.0,0.0,0.0,0.0,7.6,4784.4,16009.2,47972.8,4.6,2476.0,15177.2,14995.6,0.6,30.8,3.6,1.6,903.2,57621.0,9153.4,17438.8,116646.4,13224.4,18131.8,185370.8,24523.8,894.8,39785.4,11101.8,2144.4,4213.4,9877.0,191.2,151.0,449.0,303.6,1.6,7.0,50.8,0.0,0.0,47.6,4.8,7.8,17.2,282.2,0.0,27.5,0.0,0.0,230.0,0.8,594.1723,7.6,2.6,1086.1601,56.6,10.8,0.0,367.7289,10.8,2.6802,0.5086,1.6,0.0,0.2,0.0,1.0,1.8,0.0,1.4,38.6,17.6,1.0,17.8,0.2,0.0,1.8,3.2,0.0,1.1647,2.8,0.2,,1.0,0.2,14.0,2.6,0.0105,1.8,0.0,0.0,,,,,False,0,False,35,True,5,True,3,False,0,False,8,2476,False
6.4,7.4,11.2,17.4,19218.8,1.2,0.2,0.0,0.0,5.4,3295.2,17402.0,33373.0,3.0,2337.0,15527.4,13275.0,0.2,25.8,1.8,1.2,603.0,109802.2,15440.8,15001.4,59855.8,5878.2,16895.0,182443.6,24452.4,503.2,34359.4,12785.0,3132.4,2462.2,6376.2,299.4,167.0,281.6,284.2,1.8,5.0,48.8,0.2,0.0,44.0,2.8,6.0,17.2,269.2,0.0,25.5,1.0,0.2,515.0,0.4,627.7371,7.4,1.8,802.8096,13.2,7.9,0.2,398.6212,10.85,2.4071,0.55,1.2,0.4,0.4,12.0,1.4,1.8,0.4,1.4,46.4,48.2,1.6,17.6,0.0,0.0,2.6,4.6,10.0,1.1357,1.8,0.4,,2.4,0.2,11.6,3.8,0.3462,1.6,0.2,0.2,1844.2173,,,,False,2,True,32,True,3,True,1,True,2,True,9,2337,True
4.2,8.2,6.2,14.2,12535.6,0.6,0.2,0.0,0.0,6.8,2916.0,6402.6,19721.2,3.4,1760.0,11282.0,10977.0,0.0,23.8,2.0,1.0,524.6,33726.2,5494.0,11796.8,76691.6,9183.6,11528.2,119402.4,16054.8,216.6,25932.2,8983.8,1376.2,2606.2,4515.2,180.4,125.6,243.0,240.6,1.0,8.0,29.2,0.0,0.0,32.4,3.6,3.4,12.4,183.0,0.0,21.7,0.0,0.0,570.0,0.0,546.9812,8.2,0.4,397.3679,25.2,0.8,0.0,384.3848,9.6,1.547,0.4952,0.2,1.4,0.6,0.0,0.8,0.4,0.0,0.6,27.6,15.8,0.6,10.4,0.0,0.0,2.2,1.8,0.0,1.1116,2.2,0.6,,0.2,0.0,7.2,1.0,0.2592,1.0,0.2,0.0,,,,,False,0,False,21,False,1,False,0,False,0,True,5,1760,False
5.6,2.2,11.6,13.2,11197.2,0.8,0.0,0.0,0.0,3.6,4519.4,13817.8,14152.8,1.2,1409.0,9988.4,8587.0,0.2,17.2,4.4,1.0,623.2,50953.2,9623.4,3920.6,37305.6,5970.4,11456.6,101012.0,18919.6,958.8,16266.0,12752.6,3324.6,888.0,4514.0,777.2,88.0,227.4,50.0,1.6,6.0,27.4,0.2,0.0,23.6,1.2,1.8,10.6,176.0,0.0,16.4,1.0,0.0,60.0,0.2,805.3318,2.2,1.6,1736.298,13.0,2.38,0.2,425.1734,11.12,11.4667,0.6143,2.0,0.2,0.0,2.0,0.8,0.2,0.2,0.6,42.0,60.4,0.6,17.2,0.6,0.0,4.2,4.8,5.0,1.0216,1.2,0.0,,2.0,0.0,12.6,0.6,0.5933,2.0,0.2,0.2,1275.86,,,,True,1,False,28,True,3,True,1,False,1,False,8,1409,True
9.0,2.8,11.0,14.4,12841.0,1.4,0.2,0.0,0.0,8.2,3380.6,13995.4,13544.8,4.4,1635.0,11732.4,10365.0,0.2,24.0,4.6,2.2,565.6,52463.6,8255.8,9661.6,38875.4,6772.2,8804.0,106243.8,16819.4,549.2,19390.6,14903.8,1790.6,924.4,5641.6,255.8,102.0,353.0,66.4,1.8,2.0,34.2,0.0,0.0,33.6,4.0,3.6,12.2,201.8,0.0,16.4,0.6,0.0,120.0,0.4,617.0118,2.8,2.6,805.3667,12.8,6.08,0.0,430.3972,9.8,9.3333,0.4444,2.4,0.2,0.0,0.0,1.6,0.8,0.2,1.2,6.0,63.2,1.6,20.0,0.4,0.0,1.4,3.4,5.0,1.2522,3.2,0.6,,0.0,0.0,16.2,1.2,1.1253,2.4,0.4,0.0,1548.158,,,,True,1,True,45,True,4,True,1,False,1,False,9,1635,True
2.2,6.2,4.0,12.6,10049.8,0.2,0.0,0.0,0.0,5.2,1494.6,3236.2,15363.0,2.2,1562.0,8196.0,7681.0,0.0,19.0,0.4,0.4,589.8,21384.6,5113.4,4086.6,59369.8,6570.8,15498.8,88760.2,13604.8,254.4,22814.0,8004.8,1920.0,3227.4,4479.8,0.0,106.4,162.8,165.4,0.4,10.0,24.2,0.0,0.0,21.2,2.8,2.6,9.6,176.4,0.0,18.9,0.0,0.0,240.0,0.0,522.5624,6.2,0.0,254.4799,25.4,1.1,0.0,314.8154,12.8,1.0067,0.5636,0.0,1.0,0.2,0.0,0.2,0.4,0.0,0.4,13.2,26.8,0.2,6.2,0.0,0.0,0.4,0.4,0.0,0.8306,6.8,0.2,,0.8,0.0,6.0,1.0,-0.0597,1.2,0.0,0.0,,,,,False,0,False,11,False,0,False,0,False,0,False,2,1562,False
1.8,6.2,3.0,13.0,10597.0,0.0,0.0,0.0,0.0,1.8,1133.0,4439.6,18379.4,0.6,1783.0,8910.6,8385.0,0.0,19.4,0.8,0.4,746.2,52051.0,9618.0,5960.6,35007.0,3525.0,13509.8,92655.2,13476.4,18.4,23468.0,5596.4,333.0,3996.8,4601.4,1067.4,103.0,159.2,180.0,0.6,8.0,26.8,0.2,0.0,31.2,0.6,5.8,15.0,197.6,0.0,19.3,0.0,0.0,215.0,0.2,453.2433,6.2,1.0,1086.2943,12.0,0.8,0.2,299.694,12.0,0.8311,0.5333,0.2,0.4,0.0,0.0,0.0,0.2,0.2,0.8,11.4,25.8,0.0,4.8,0.0,0.0,0.0,0.8,10.0,1.063,3.0,0.0,,0.0,0.0,4.8,1.0,-0.102,1.0,0.0,0.0,,,,,False,0,False,9,True,2,False,0,False,1,False,3,1783,False
1.2,6.8,0.8,10.2,6903.4,0.2,0.0,0.0,0.0,2.6,264.0,4178.8,7908.4,0.6,1221.0,5553.0,5177.0,0.0,14.0,0.6,0.2,397.0,15842.6,3711.2,4767.0,34077.2,4070.6,10743.0,55092.2,8425.0,88.2,16134.8,5171.6,642.8,623.4,3139.8,598.8,65.0,157.4,165.4,0.0,11.0,24.8,0.0,0.0,10.8,1.0,0.4,5.0,176.0,0.0,18.0,0.0,0.0,0.0,0.0,413.7351,6.8,0.2,687.2188,13.6,0.0,0.0,272.6958,14.0,0.2786,0.3333,0.4,0.4,0.0,0.0,0.2,0.6,0.2,0.8,11.4,31.2,0.8,2.0,0.2,0.0,1.6,0.0,0.0,0.5619,0.4,0.0,,0.2,0.0,1.2,1.0,-0.1183,1.0,0.0,0.2,,,,,False,0,True,6,True,1,False,0,True,1,False,0,1221,False
1.8,2.6,2.8,12.8,10255.4,0.4,0.0,0.0,0.0,3.8,201.0,1082.2,10965.6,1.2,1550.0,8107.8,7437.0,0.0,17.4,1.4,0.2,539.0,34528.8,4090.2,3360.8,54092.0,3374.4,11443.0,96689.6,8305.2,231.2,15824.4,8067.8,839.4,1019.6,8213.6,2085.2,111.8,205.0,58.0,0.2,9.0,20.8,0.0,0.0,12.8,1.8,2.8,6.0,203.8,0.0,16.56,0.0,0.0,105.0,0.0,321.2893,2.4,0.0,2316.7536,7.2,0.8,0.0,313.6598,9.6,2.7667,0.5111,0.2,0.2,0.0,0.0,0.4,0.2,0.0,0.2,29.8,33.0,0.0,4.6,0.0,0.0,0.0,0.6,0.0,0.5145,1.2,0.4,,0.6,0.0,4.6,0.2,-0.2771,1.0,0.0,0.0,,,,,False,0,False,9,False,0,False,0,False,0,False,0,1550,False
